Block,Borough,OBJECTID,the_geom,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteTy,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
996,MN,544,"MULTIPOLYGON (((-73.98437599733866 40.75656596551337, -73.98455096487473 40.75632097426894, -73.98456024468699 40.7563248494863, -73.98479496852707 40.75642286917549, -73.9846199850362 40.75666788419785, -73.98437599733866 40.75656596551337)))",46,128 West 44th Street,1009960046,Lambs Club,LP-00859,"Borough of Manhattan Tax Map Block 996, Lot 46.",Block and Lot,Designated,,09/24/1974 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0859.pdf,357.398979631,7833.79787888
1502,MN,545,"MULTIPOLYGON (((-73.95718999827784 40.78393058333634, -73.95737424592365 40.783681660252256, -73.95746398317536 40.78371956580323, -73.95727973812966 40.783968489030265, -73.95718999827784 40.78393058333634)))",12,17 East 90th Street,1015020012,17 East 90th Street House,LP-00864,"Borough of Manhattan Tax Map Block 1502, Lot 12.",Block and Lot,Designated,,07/23/1974 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0864.pdf,264.980341805,2958.46490485
2077,MN,548,"MULTIPOLYGON (((-73.94794427448838 40.825848348506376, -73.94781916145011 40.82579561567289, -73.94786387712557 40.82573464263281, -73.94790825925047 40.82567412507494, -73.94795543245222 40.82560980056323, -73.94800355374684 40.8255441833475, -73.94819011663269 40.825622816646764, -73.94800572600857 40.82587424926779, -73.94794427448838 40.825848348506376)))",26,503 West 145th Street,1020770026,"New York Public Library, Hamilton Grange Branch",LP-00599,"Borough of Manhattan Tax Map Block 2077, Lot 26.",Block and Lot,Designated,,03/31/1970 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0599.pdf,327.819903691,6191.90279864
1432,MN,549,"MULTIPOLYGON (((-73.95713862791389 40.773240121887696, -73.95732279649833 40.77298738663312, -73.9573650402733 40.773005167395596, -73.95718084097606 40.7732579441286, -73.95713862791389 40.773240121887696)))",42,214 East 78th Street,1014320042,214 East 78th Street House,LP-00984,"Borough of Manhattan Tax Map Block 1432, Lot 42.",Block and Lot,Designated,,05/09/1978 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0984.pdf,237.296080388,1407.94638824
1983,MN,550,"MULTIPOLYGON (((-73.95612488645743 40.81476341412418, -73.95633200617179 40.814997110523876, -73.95600707947234 40.81516074510111, -73.9558154019021 40.815062814787204, -73.95572612973902 40.81496209055763, -73.95612488645743 40.81476341412418)))",11,517-523 West 126th Street,1019830011,"St. Mary's Protestant Episcopal Church, Parish House, and Sunday School",LP-01981,"Borough of Manhattan Tax Map Block 1983, Lot 11.",Block and Lot,Designated,,05/19/1998 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1981.pdf,450.72679493,12879.5966684
1386,MN,551,"MULTIPOLYGON (((-73.9652606383463 40.771566606403475, -73.96540848600574 40.77136401064922, -73.96535199493016 40.771340169962734, -73.96539114040426 40.771286527944426, -73.9655849305641 40.771368312059884, -73.96539906863157 40.77162528792373, -73.9652606383463 40.771566606403475)))",52,867 Madison Avenue,1013860052,Gertrude Rhinelander Waldo House,LP-00927,"Borough of Manhattan Tax Map Block 1386, Lot 52.",Block and Lot,Designated,now the Polo/Ralph Lauren Store,07/13/1976 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0927.pdf,336.795793145,5067.06931747
1874,MN,552,"MULTIPOLYGON (((-73.9690069448736 40.798887209329216, -73.96938537605439 40.79904677899075, -73.9692026957502 40.79929916280494, -73.96882426357301 40.799139591649656, -73.9690069448736 40.798887209329216)))",52,2689-2693 Broadway,1018740052,Marseilles Hotel,LP-01660,"Borough of Manhattan Tax Map Block 1874, Lot 52.",Block and Lot,Designated,,10/02/1990 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1660.pdf,449.538034873,12574.8391355
1381,MN,553,"MULTIPOLYGON (((-73.96900924990142 40.768806054248365, -73.96906228267414 40.76873318354443, -73.96944292187246 40.76889343337514, -73.96938942754535 40.76896611052161, -73.96900924990142 40.768806054248365)))",72,854 Fifth Avenue,1013810072,R. Livingston and Eleanor T. Beeckman House,LP-00587,"Borough of Manhattan Tax Map Block 1381, Lot 72.",Block and Lot,Designated,now the Permanent Mission of Serbia and Mentenegro to the United Nationas,01/14/1969 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0587.pdf,301.580565267,3654.66836173
1514,MN,554,"MULTIPOLYGON (((-73.95705680151701 40.77963962274797, -73.95690891328549 40.779577301421696, -73.95701426556448 40.779433117245745, -73.95735778262213 40.77957787812487, -73.95725277194093 40.77972220501757, -73.95705680151701 40.77963962274797)))",3,1025 Park Avenue,1015140003,Reginald and Anna DeKoven House,LP-01505,"Borough of Manhattan Tax Map Block 1514, Lot 3.",Block and Lot,Designated,,10/07/1986 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1505.pdf,337.844424108,6539.7340649
1270,MN,555,"MULTIPOLYGON (((-73.97586304144971 40.761654326051485, -73.97585673951002 40.76165165203372, -73.97605057467001 40.761388183265154, -73.97613458021719 40.761423823755955, -73.9759407452858 40.76168729266449, -73.97586304144971 40.761654326051485)))",30,5 West 54th Street,1012700030,Moses Allen and Alice Dunning Starr House,LP-01101,"Borough of Manhattan, Tax Map Block 1270, Lot 30.",Block and Lot,Designated,"now Petrola House, also known as the 5 West 54th Street House",02/03/1981 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1101.pdf,273.275972521,2931.11459532
